GeneID,Chr,up,down,ori
CSS0005497,1,89526,90171,-
CSS0021670,1,199810,200112,-
CSS0044136,1,253582,253867,+
CSS0027713,1,346404,380767,-
CSS0021574,1,473396,477283,-
CSS0027062,1,861616,861948,-
CSS0029091,1,1083547,1107530,+
CSS0037703,1,1124614,1146822,+
CSS0007963,1,1202056,1206700,-
CSS0042349,1,1276089,1279718,+
CSS0037201,1,1298608,1318021,-
CSS0047363,1,1337413,1338628,-
CSS0023209,1,1358852,1359127,-
CSS0024157,1,1409394,1410975,+
CSS0003036,1,1411517,1444125,-
CSS0033558,1,1474627,1534115,-
CSS0022978,1,1704329,1726561,-
CSS0043769,1,1845950,1879271,+
CSS0006278,1,1879069,1896645,-
CSS0025547,1,2128382,2129278,-
CSS0045568,1,2165504,2177780,+
CSS0003848,1,2178784,2179503,+
CSS0039685,1,2181134,2184831,-
CSS0021366,1,2197365,2200630,-
CSS0017084,1,2265732,2266847,-
CSS0033165,1,2324559,2332199,-
CSS0002559,1,2335553,2341662,-
CSS0016153,1,2390808,2405635,+
CSS0049734,1,2407688,2409675,+
CSS0010051,1,2411471,2412395,-
CSS0012520,1,2414167,2419130,-
CSS0045506,1,2454759,2463161,+
CSS0012969,1,2481610,2495073,+
CSS0002064,1,2496246,2502453,-
CSS0000382,1,2502887,2507188,+
CSS0003153,1,2508323,2529138,-
CSS0018580,1,2628796,2631222,-
CSS0017364,1,2633742,2637361,-
CSS0049082,1,2784557,2793371,+
CSS0026124,1,2796397,2803964,-
CSS0024159,1,2821848,2822137,+
CSS0029024,1,2823074,2827336,+
CSS0041563,1,2828963,2829372,+
CSS0028077,1,2833563,2834263,+
CSS0048270,1,2835185,2840519,-
CSS0000339,1,2841716,2849457,+
CSS0038123,1,2880008,2887459,+
CSS0048980,1,2893403,2897749,+
CSS0016782,1,2910306,2919484,+
CSS0025048,1,2924573,2955318,-
CSS0010197,1,2994218,3002219,-
CSS0047234,1,3074674,3103443,-
CSS0021737,1,3105307,3111455,-
CSS0014681,1,3117287,3139939,-
CSS0033222,1,3143474,3162197,-
CSS0025439,1,3211827,3212655,-
CSS0023104,1,3218363,3219907,+
CSS0039108,1,3225787,3235871,-
CSS0010443,1,3246066,3262884,+
CSS0018282,1,3273373,3277050,-
CSS0003666,1,3280142,3292010,-
CSS0047683,1,3322927,3326932,-
CSS0001110,1,3370218,3370833,-
CSS0034295,1,3372924,3387713,-
CSS0014528,1,3394234,3400159,-
CSS0022592,1,3412011,3412726,-
CSS0024658,1,3413994,3416592,-
CSS0048819,1,3419885,3434081,-
CSS0027776,1,3482984,3483884,-
CSS0007792,1,3486168,3488869,-
CSS0008581,1,3490161,3495117,-
CSS0018619,1,3519460,3521184,-
CSS0040898,1,3534590,3538267,-
CSS0027041,1,3541924,3553884,-
CSS0004298,1,3557778,3558406,+
CSS0020366,1,3564259,3564438,-
CSS0014154,1,3593977,3598830,+
CSS0000965,1,3603637,3607826,-
CSS0019865,1,3638790,3642467,+
CSS0029460,1,3645278,3647332,+
CSS0048982,1,3650569,3652825,-
CSS0047203,1,3678435,3683668,+
CSS0045397,1,3684250,3685063,-
CSS0045358,1,3688947,3691283,-
CSS0007646,1,3692012,3701809,-
CSS0035731,1,3736497,3748822,+
CSS0029757,1,3850639,3851332,+
CSS0020728,1,3851639,3857146,-
CSS0033453,1,3915203,3918583,+
CSS0012365,1,3926727,3931967,+
CSS0006565,1,4022988,4029600,-
CSS0049458,1,4106693,4108852,-
CSS0027415,1,4146826,4148253,+
CSS0013263,1,4149270,4150361,+
CSS0012450,1,4155258,4164407,-
CSS0030056,1,4178753,4182347,-
CSS0000070,1,4225351,4226941,-
CSS0025989,1,4230510,4230947,-
CSS0003321,1,4287773,4288306,+
CSS0003262,1,4335641,4336893,-
CSS0049315,1,4338997,4342043,+
CSS0028465,1,4349186,4387355,+
CSS0026875,1,4388680,4393589,-
