GeneID,nr_annotation
CSS0048112,hypothetical protein VITISV_037642 [Vitis vinifera]
CSS0006008,PREDICTED: uncharacterized mitochondrial protein AtMg00810-like [Glycine max]
CSS0041306,unnamed protein product [Coffea canephora]
CSS0015845,hypothetical protein POPTR_0001s01730g [Populus trichocarpa] 
CSS0028946,hypothetical protein POPTR_0176s00230g [Populus trichocarpa] 
CSS0001933,hypothetical protein VITISV_003620 [Vitis vinifera]
CSS0024060,Uncharacterized protein isoform 3 [Theobroma cacao] 
CSS0006103,PREDICTED: uncharacterized protein OsI_027940-like [Nelumbo nucifera]
CSS0033877,PREDICTED: protein ABIL2-like [Solanum tuberosum]
CSS0021104,PREDICTED: UDP-glycosyltransferase 73D1 [Vitis vinifera] 
CSS0004906,PREDICTED: triphosphate tunel metalloenzyme 3-like isoform X1 [Nelumbo nucifera] 
CSS0029066,PREDICTED: squamosa promoter-binding-like protein 14 isoform X2 [Vitis vinifera]
CSS0037830,PREDICTED: chromosome-associated kinesin KIF4A-like isoform X1 [Vitis vinifera]
CSS0043059,Glycosyl hydrolase 9B18 [Theobroma cacao] 
CSS0047560,hypothetical protein VITISV_007847 [Vitis vinifera]
CSS0031200,hypothetical protein CISIN_1g024570mg [Citrus sinensis]
CSS0008620,CCR4-NOT transcription complex family protein [Populus trichocarpa] 
CSS0013147,mov34 family protein [Populus trichocarpa] 
CSS0014129,hypothetical protein L484_022066 [Morus notabilis] 
CSS0036034,PREDICTED: glycine--tRNA ligase 1 mitochondrial [Vitis vinifera] 
CSS0048646,PREDICTED: uncharacterized protein LOC105163690 [Sesamum indicum]
CSS0015344,PREDICTED: beta-ureidopropionase [Nelumbo nucifera]
CSS0010177,hypothetical protein VITISV_005771 [Vitis vinifera]
CSS0001803,PREDICTED: receptor-like serine/threonine-protein kinase ALE2 [Vitis vinifera]
CSS0047900,Tetratricopeptide repeat 5 [Gossypium arboreum]
CSS0041562,PREDICTED: filament-like plant protein 4 isoform X1 [Vitis vinifera] 
CSS0032570,PREDICTED: chaperone protein dnaJ 1 mitochondrial [Vitis vinifera]
CSS0026213,PREDICTED: uncharacterized protein LOC104454949 [Eucalyptus grandis]
CSS0009429,PREDICTED: myosin-2 [Nelumbo nucifera]
